st_time,ed_time,fault_type,root_cause,filename
2023-02-23T13:30:48,2023-02-23T13:36:00,api-delay,ts-verification-code-service-74447dff85-9857q verifycode.controller.VerifyCodeController imageCode,2023-02-23T13:30:48_2023-02-23T13:36:00
2023-02-23T13:46:36,2023-02-23T13:51:00,api-delay,ts-travel-service-86bc99b94f-bf88m travel.controller.TravelController queryInfo,2023-02-23T13:46:36_2023-02-23T13:51:00
2023-02-23T14:01:13,2023-02-23T14:06:00,api-delay,ts-travel2-service-686c895647-ntgtj travel2.controller.Travel2Controller queryInfo,2023-02-23T14:01:13_2023-02-23T14:06:00
2023-02-23T14:15:50,2023-02-23T14:21:00,api-delay,ts-assurance-service-67584bc8ff-mfw47 assurance.controller.AssuranceController getAllAssuranceType,2023-02-23T14:15:50_2023-02-23T14:21:00
2023-02-23T14:31:31,2023-02-23T14:36:00,api-delay,ts-food-service-57ff7645dc-7z627 foodsearch.controller.FoodController getAllFood,2023-02-23T14:31:31_2023-02-23T14:36:00
2023-02-23T14:46:15,2023-02-23T14:51:00,api-delay,ts-contacts-service-7586d57c67-gf6zp contacts.controller.ContactsController modifyContacts,2023-02-23T14:46:15_2023-02-23T14:51:00
2023-02-23T15:01:43,2023-02-23T15:06:00,api-delay,ts-order-other-service-5b5666cd96-pfnfd other.controller.OrderOtherController queryOrdersForRefresh,2023-02-23T15:01:43_2023-02-23T15:06:00
2023-02-23T15:16:08,2023-02-23T15:21:00,api-delay,ts-order-service-5c8b698d7b-cvq6t order.controller.OrderController queryOrdersForRefresh,2023-02-23T15:16:08_2023-02-23T15:21:00
2023-02-23T15:31:19,2023-02-23T15:36:00,api-delay,ts-consign-service-97b57cdf6-2zfq5 consign.controller.ConsignController updateConsign,2023-02-23T15:31:19_2023-02-23T15:36:00
2023-02-23T15:47:09,2023-02-23T15:51:00,api-delay,ts-route-service-cd8474f97-gbz2k route.controller.RouteController queryById,2023-02-23T15:47:09_2023-02-23T15:51:00
